,answer,ans_score,senti_score,label,dummy
67,providing greater clarity and certainty,0.2855413258075714,0.9998025298118591,POSITIVE,1
68,early warning system,0.3729873597621918,-0.9596526622772217,NEGATIVE,0
69,fintech,0.057523876428604126,0.9407304525375366,POSITIVE,1
70,highly supportive fiscal policy,0.024795226752758026,0.9997482895851135,POSITIVE,1
71,more consistent with each other,0.08923192322254181,0.99959796667099,POSITIVE,1
72,improve working conditions facing women and children,0.03481772169470787,0.9990541338920593,POSITIVE,1
73,neutral stance,0.10676262527704239,-0.8160972595214844,NEGATIVE,0
74,look forward to hearing more from you and your members through the rulemaking process,0.054808229207992554,0.9997941851615906,POSITIVE,1
75,accommodative monetary policy,0.08019851893186569,0.9938866496086121,POSITIVE,1
76,homeownership is the single most important component of their wealth,0.014320851303637028,0.9994338154792786,POSITIVE,1
77,this does not mean that our work is complete.,0.053557831794023514,0.9065874814987183,POSITIVE,1
78,Federal Reserve monetary policy,0.1309511661529541,-0.5105898380279541,NEGATIVE,0
79,25 years,0.04309922084212303,0.9951167106628418,POSITIVE,1
80,hopeful outlook,0.015211425721645355,0.999873161315918,POSITIVE,1
81,vulnerabilities,0.7050204873085022,-0.971630871295929,NEGATIVE,0
82,"Federal Reserve monetary policy, and our new monetary policy framework",0.0926894098520279,0.9786797761917114,POSITIVE,1
83,the economy may perform better or worse than expected,0.01821175031363964,-0.9989427924156189,NEGATIVE,0
84,commitment to investing in the education of future generations of community bankers,0.016034062951803207,0.999681830406189,POSITIVE,1
85,we look forward to your continued engagement,0.0248431209474802,0.999829888343811,POSITIVE,1
86,Policymakers will need to remain vigilant,0.37362799048423767,-0.9984392523765564,NEGATIVE,0
87,very low,0.11928541958332062,-0.9997797608375549,NEGATIVE,0
88,community and regional banks remain well positioned to continue to extend credit,0.14482973515987396,0.9993600249290466,POSITIVE,1
89,I approach our monetary policy deliberations in a similar way,0.13984562456607819,0.8748056292533875,POSITIVE,1
90,the Federal Reserve remains optimistic,0.10470011830329895,0.9925675392150879,POSITIVE,1
91,"financial stability, and the appropriate role of private money",0.09707510471343994,0.9977245926856995,POSITIVE,1
92,suggests that refraining from liftoff until inflation reaches 2 percent,0.014765840955078602,-0.9596770405769348,NEGATIVE,0
93,macroprudential,0.06621856242418289,0.9268396496772766,POSITIVE,1
94,March on Washington for Jobs and Freedom,3.2871153962332755e-05,0.9924423694610596,POSITIVE,1
95,We will not hesitate to take additional policy actions,0.06092679873108864,0.9988184571266174,POSITIVE,1
96,The Federal Reserve has played a leading role in the global economic policy,0.012923375703394413,0.9976999163627625,POSITIVE,1
97,cash reserves,0.24372361600399017,0.9898707270622253,POSITIVE,1
98,economic realities that don't show up on a spreadsheet,0.008993120864033699,-0.9962702989578247,NEGATIVE,0
99,unusual,0.1803320199251175,0.876596987247467,POSITIVE,1
100,coronavirus,0.09120753407478333,-0.9493716359138489,NEGATIVE,0
101,I am proud that the Federal Reserve has been supporting your work,8.885156603355426e-06,0.9997965693473816,POSITIVE,1
102,public good,0.004605884198099375,0.9998562335968018,POSITIVE,1
103,the U.S. economy,0.02080724760890007,0.9951040744781494,POSITIVE,1
104,technical measures not intended to change the stance of monetary policy,0.03282923623919487,-0.99397212266922,NEGATIVE,0
105,more material than when the signals provide conflicting interpretations,0.0887436717748642,0.9865791201591492,POSITIVE,1
106,policy rate more likely to be constrained by the lower bound,0.05625753477215767,-0.9894479513168335,NEGATIVE,0
107,more aggressive,0.08789364993572235,-0.9871684312820435,NEGATIVE,0
108,The guidance should reflect some supervisory flexibility,0.03973594680428505,0.9701542854309082,POSITIVE,1
109,lower than previously anticipated,0.048324260860681534,-0.9986768364906311,NEGATIVE,0
110,consumers can reasonably expect their deposits to be insured up to a limit,0.052857037633657455,-0.9814925789833069,NEGATIVE,0
111,high priority,0.09062720090150833,0.9995943903923035,POSITIVE,1
112,perspectives on the national and local economies,0.02743995003402233,0.9988254904747009,POSITIVE,1
113,monetary policy is in a good place and should continue to support sustained growth,0.411799818277359,0.9997599720954895,POSITIVE,1
114,smaller,0.012237331829965115,-0.9706189036369324,NEGATIVE,0
115,Monetary Policy in a Low Interest Rate World,0.06348768621683121,-0.9834312796592712,NEGATIVE,0
116,while I couldn't be part of the your discussions,0.009868185967206955,-0.9961697459220886,NEGATIVE,0
117,Congress has assigned the Federal Reserve specific responsibilities in monetary policy,0.022072089836001396,0.9652570486068726,POSITIVE,1
118,Interest and Prices: Foundations of a Theory of Monetary Policy,0.24125102162361145,0.9934491515159607,POSITIVE,1
119,foreign exporters tend to keep the dollar prices of their goods comparatively stable,0.25519615411758423,0.9504511952400208,POSITIVE,1
120,contributions they make in advancing the mission of the organization,0.0027281998191028833,0.9997988343238831,POSITIVE,1
121,first of its kind for the Federal Reserve,0.06202932819724083,0.9982580542564392,POSITIVE,1
122,It is our responsibility as a public institution to be accountable to the public,0.016101622954010963,0.9948781728744507,POSITIVE,1
123,the economy's circulatory system,0.16255125403404236,0.9291868805885315,POSITIVE,1
124,We are also looking at whether our existing monetary policy tools will be adequate,0.022280585020780563,-0.9945809245109558,NEGATIVE,0
125,he is responsible more than any other person,0.09872332960367203,0.9968344569206238,POSITIVE,1
126,While we believe our strategy and tools have been and remain effective,0.03564607352018356,0.9927720427513123,POSITIVE,1
127,Market fragmentation is an issue that will never disappear,0.13906025886535645,0.9944913387298584,POSITIVE,1
128,we are unsure of the efficacy or benefits of these approaches,0.016273019835352898,-0.9983513355255127,NEGATIVE,0
129,the CCyB is currently set at zero percent in the United States,0.04535629227757454,-0.9994958639144897,NEGATIVE,0
130,"Opaque, vague, and uncertain requirements for pre-positioning and reporting",0.025816190987825394,-0.9995808005332947,NEGATIVE,0
131,Inflation Dynamics and Monetary Policy,0.689002275466919,-0.9288848042488098,NEGATIVE,0
132,maintains the resiliency,0.0489739291369915,0.9997072815895081,POSITIVE,1
133,It is our responsibility as a public institution to be accountable to the public,0.06700070947408676,0.9948781728744507,POSITIVE,1
134,Utah,0.026407595723867416,0.9991645812988281,POSITIVE,1
135,long-standing Federal Reserve policies,0.06512150913476944,-0.5799596905708313,NEGATIVE,0
136,somewhat more accommodative,0.0974467545747757,0.9728047251701355,POSITIVE,1
137,uncertainty,0.07809752970933914,-0.9932219982147217,NEGATIVE,0
138,Our capital-planning expectations will not decline,0.3590434193611145,0.9989670515060425,POSITIVE,1
139,Because we do not claim a monopoly on knowledge or wisdom,0.017587093636393547,-0.9975787997245789,NEGATIVE,0
140,Can the Federal Reserve best meet its statutory objectives with its existing monetary policy strategy,0.05565363168716431,-0.9942325949668884,NEGATIVE,0
141,We will closely monitor the implications of incoming information for the economic outlook,0.24388448894023895,0.9656785130500793,POSITIVE,1
142,anti-money-laundering compliance,0.19860775768756866,-0.6665061712265015,NEGATIVE,0
143,unemployment at a 50-year low,0.01932414434850216,-0.9996669292449951,NEGATIVE,0
144,financial stability considerations and monetary policy,0.005080109927803278,0.9960640072822571,POSITIVE,1
145,these policies provided meaningful support for demand,0.12202653288841248,0.99933260679245,POSITIVE,1
146,My key message to you today is that you should take the warnings seriously,0.05736852437257767,0.877246081829071,POSITIVE,1
147,the Tinbergen principle,0.26837965846061707,0.9037857055664062,POSITIVE,1
148,Inflation Dynamics and Monetary Policy,0.6259868741035461,-0.9288848042488098,NEGATIVE,0
149,improving our ability to achieve and sustain our dual-mandate objectives,0.0045428588055074215,0.9994984865188599,POSITIVE,1
150,inflation is running close to our 2 percent objective,0.0016859351890161633,-0.9980218410491943,NEGATIVE,0
151,price-stability objective,0.2503695785999298,0.996266782283783,POSITIVE,1
152,Monetary Policy in a Low Interest Rate World,0.0918911024928093,-0.9834312796592712,NEGATIVE,0
153,help more Americans reach and remain in the middle class,0.12112075090408325,0.9989266991615295,POSITIVE,1
154,low sensitivity,0.5607591271400452,-0.9993040561676025,NEGATIVE,0
155,fintech firms originate a larger share of personal loans than banks,0.010322661139070988,0.7168741226196289,POSITIVE,1
156,slowly shrink the level of reserves,0.18899185955524445,-0.9990684390068054,NEGATIVE,0
157,we in the public sector must also recognize our need to help,0.20075282454490662,0.990858256816864,POSITIVE,1
158,Macroeconomic Effects of Federal Reserve Forward Guidance,0.2791191041469574,0.5065668225288391,POSITIVE,1
159,voting on the monetary policy decisions of the Federal Open Market Committee,0.17011848092079163,0.9661101698875427,POSITIVE,1
160,money market funds founded by technology companies in China,0.03169327601790428,-0.8959881067276001,NEGATIVE,0
161,we are not reacting to every piece of volatile data,0.10148751735687256,-0.9993962049484253,NEGATIVE,0
162,to promote maximum employment and stable prices,0.6238071322441101,0.9996285438537598,POSITIVE,1
163,International Monetary Fund,0.15550687909126282,0.9960646033287048,POSITIVE,1
164,forward-looking methodologies,0.30846720933914185,0.9997292160987854,POSITIVE,1
165,I am optimistic about the future of rural America,0.051214154809713364,0.9998350143432617,POSITIVE,1
166,banks would continue to place their community,0.060908786952495575,0.9986655712127686,POSITIVE,1
167,ensuring that all Americans have fair access to the economic opportunities that our nation offers,0.006239705253392458,0.9994983673095703,POSITIVE,1
168,maintaining strong aggregate growth,0.0858139917254448,0.999833345413208,POSITIVE,1
169,working or looking for work,0.3115497827529907,-0.8674589991569519,NEGATIVE,0
170,You can craft policy to change our world,0.2618589699268341,0.9994714856147766,POSITIVE,1
171,the current system has worked very well,0.12056299299001694,0.999717652797699,POSITIVE,1
172,The Federal Reserve's Framework for Monetary Policy,0.4935097396373749,0.9053634405136108,POSITIVE,1
173,supporting maximum employment and price stability,0.6249744892120361,0.999681830406189,POSITIVE,1
174,achieve a fair balance between safety and soundness and reducing unnecessary regulatory burden,0.06265546381473541,0.9991024732589722,POSITIVE,1
175,"ensure they are working as intended, and, where possible, improve them",0.10206253081560135,0.9991506338119507,POSITIVE,1
176,strength of their finances,0.07932517677545547,0.9998570680618286,POSITIVE,1
177,interim,0.031928326934576035,-0.9965628981590271,NEGATIVE,0
178,CRA policies can be clearly and consistently applied across agencies,0.0060382685624063015,0.999224066734314,POSITIVE,1
179,sustain economic growth and maximum employment at levels consistent with our 2 percent inflation objective,0.13038770854473114,0.9996104836463928,POSITIVE,1
180,insurance-centric,0.13133138418197632,0.9077054262161255,POSITIVE,1
181,I am happy to report that our economy is currently performing very well overall,0.003503448097035289,0.9997887015342712,POSITIVE,1
182,deep-seated commitment to low- and moderate-income communities,0.05194821581244469,0.9970580339431763,POSITIVE,1
183,Chair Yellen,0.06873565912246704,-0.6568511128425598,NEGATIVE,0
184,gradual policy normalization,0.14196543395519257,0.9621220827102661,POSITIVE,1
185,financial institutions manage their risks,0.17038753628730774,0.9408062100410461,POSITIVE,1
186,beneficial,0.03514871746301651,0.9998611211776733,POSITIVE,1
187,rating,0.2746034562587738,0.9952594637870789,POSITIVE,1
188,monetary policy remains accommodative,0.4938065707683563,0.9731559157371521,POSITIVE,1
189,"policymakers should chart a course that is stable, gradual, and predictable",0.07382526993751526,-0.9899845123291016,NEGATIVE,0
190,ensure trust in financial products and services by maintaining the focus on consumer protection,0.12009380757808685,0.9987403750419617,POSITIVE,1
191,greater consistency,0.008274193853139877,0.9996721744537354,POSITIVE,1
192,"safe, efficient, and accessible faster payment system for the United States",0.010201268829405308,0.9996116757392883,POSITIVE,1
193,very low interest rates,0.13310137391090393,-0.9993952512741089,NEGATIVE,0
194,the gap between the policy rate and the nominal shorter-run neutral rate,0.7227239012718201,-0.9991514682769775,NEGATIVE,0
195,good public policy,0.40487104654312134,0.9998443126678467,POSITIVE,1
196,Treasury Department official,0.09456130117177963,0.9705670475959778,POSITIVE,1
197,highly accommodative monetary policy,0.14862768352031708,0.9980328679084778,POSITIVE,1
198,Risk-Adjusted Monetary Policy Rule,0.5303816199302673,-0.8370922803878784,NEGATIVE,0
199,monetary policy independence,0.04189038649201393,0.9974133372306824,POSITIVE,1
200,the CRA,0.08464545011520386,-0.9868491888046265,NEGATIVE,0
201,high,0.1127215251326561,0.9997591376304626,POSITIVE,1
202,protect important information of the parties and their customers,0.6091212034225464,0.9963634610176086,POSITIVE,1
203,stretched,0.11578246206045151,-0.9966532588005066,NEGATIVE,0
204,we are in communities all across this nation,0.03735543042421341,0.9991864562034607,POSITIVE,1
205,lessen the likelihood and severity of a financial crisis,0.08310221880674362,-0.99936443567276,NEGATIVE,0
206,"this is a place where opportunity, innovation, and productivity are encouraged and rewarded",0.07839416712522507,0.9997661709785461,POSITIVE,1
207,vigilant,0.5734699368476868,0.9982093572616577,POSITIVE,1
208,I look forward to hearing your views as we make progress toward these improvements.,0.18510806560516357,0.999747097492218,POSITIVE,1
209,Solutions will not come easily,0.019595997408032417,-0.9982336759567261,NEGATIVE,0
210,inflation,0.33971112966537476,-0.9965974688529968,NEGATIVE,0
211,boosting the growth rate of productivity,0.4644664525985718,0.999806821346283,POSITIVE,1
212,We will remain alert to any developing risks to financial stability,0.010513773187994957,0.9689444899559021,POSITIVE,1
213,I am not advocating an enervation of the regulatory capital regime,0.009438388049602509,-0.9931759238243103,NEGATIVE,0
214,low,0.22737018764019012,-0.9997743964195251,NEGATIVE,0
215,financial stability,0.44820287823677063,0.9985895752906799,POSITIVE,1
216,consumers should receive clear disclosure,0.05152435228228569,0.9913384914398193,POSITIVE,1
217,I thank you and hope that this meeting will help advance your efforts,0.003637593472376466,0.9997623562812805,POSITIVE,1
218,supporter,0.01729302853345871,0.9981847405433655,POSITIVE,1
219,ineffective,0.21389269828796387,-0.999788224697113,NEGATIVE,0
220,The banking industry is adjusting to this world,0.012607216835021973,0.9312135577201843,POSITIVE,1
221,policy is not on a preset course,0.38880646228790283,-0.9793803095817566,NEGATIVE,0
222,cross-border spillovers and financial imbalances,0.1769520342350006,-0.9982692003250122,NEGATIVE,0
223,TRACE system,0.11044429242610931,-0.6418758630752563,NEGATIVE,0
224,better able to understand the needs and the aspirations of their customers,0.0758373886346817,0.9982494711875916,POSITIVE,1
225,neutral rate,0.3471604585647583,-0.9981958270072937,NEGATIVE,0
226,The intent is to enable directors to spend less board time on routine matters,0.006651933304965496,-0.9986268281936646,NEGATIVE,0
227,limit a future buildup of similar vulnerabilities,0.014260238967835903,-0.9951541423797607,NEGATIVE,0
228,You should choose the path where you feel you will make your greatest contribution,0.1836596429347992,0.9997270703315735,POSITIVE,1
229,largest banking institutions are now far stronger and safer,0.2060534656047821,0.9990460276603699,POSITIVE,1
230,Getting the Policy Mix Right,0.09828592836856842,0.9985346794128418,POSITIVE,1
231,my own,0.007881584577262402,0.9972980618476868,POSITIVE,1
232,limit credit growth,0.6197019219398499,-0.9898985028266907,NEGATIVE,0
233,Average hourly earnings rose only 2-12 percent,0.17785227298736572,-0.9954739212989807,NEGATIVE,0
234,improving local conditions,0.2589208781719208,0.9997112154960632,POSITIVE,1
235,"family wage"" that would allow them to support their family singlehandedly",0.032141175121068954,-0.8999494314193726,NEGATIVE,0
236,opinions--even on monetary policy--differ among experts,0.28737372159957886,-0.8621119856834412,NEGATIVE,0
237,competitive position,0.15870732069015503,0.9997788071632385,POSITIVE,1
238,policies that reward work,0.12771055102348328,0.999652624130249,POSITIVE,1
239,U.S. policy normalization will be gradual,0.3170190751552582,-0.989563524723053,NEGATIVE,0
240,maximum sustainable employment,0.26560869812965393,0.9998144507408142,POSITIVE,1
241,a bank's capital should depend on the riskiness of its assets,0.1382874995470047,-0.9929487705230713,NEGATIVE,0
242,promoting entrepreneurship could play a greater role in workforce development,0.32998690009117126,0.8299782276153564,POSITIVE,1
243,public policies,0.08293458074331284,0.9909225106239319,POSITIVE,1
244,neither has its foot on the brake nor is pressing down on the accelerator,0.17672289907932281,-0.9989752769470215,NEGATIVE,0
245,Committees versus Individuals,0.3287501931190491,-0.8010656237602234,NEGATIVE,0
246,whether the private sector can substantially meet the same needs,0.011387348175048828,-0.9930758476257324,NEGATIVE,0
247,expectations remain somewhat low,0.5489617586135864,-0.9983318448066711,NEGATIVE,0
248,the economy is near maximum employment and inflation is moving toward our goal,0.13427463173866272,0.8081635236740112,POSITIVE,1
249,uncertainty,0.8960438370704651,-0.9932219982147217,NEGATIVE,0
250,"When successful, monetary policy can be a powerful and effective tool",0.032727427780628204,0.9996514320373535,POSITIVE,1
251,promote market discipline,0.5118199586868286,0.998808741569519,POSITIVE,1
252,unduly rigid regulatory or supervisory,0.07190892845392227,-0.995505690574646,NEGATIVE,0
253,sluggishness of foreign economic growth,0.20419128239154816,-0.9992521405220032,NEGATIVE,0
254,public policy,0.19199338555335999,0.989682674407959,POSITIVE,1
255,reduced global interest rates and boosted asset prices,0.06815269589424133,0.9982728958129883,POSITIVE,1
256,above 70 percent,0.26171740889549255,0.997134804725647,POSITIVE,1
257,This panel will focus on the settlement infrastructure for U.S. government securities,0.005371119361370802,0.9755061864852905,POSITIVE,1
258,moderately reductionist,0.6446607708930969,0.9835861325263977,POSITIVE,1
259,changes in aggregate demand,0.8021780848503113,0.984968364238739,POSITIVE,1
260,policy is not on a preset course,0.45341217517852783,-0.9793803095817566,NEGATIVE,0
261,"risks are thoroughly understood, managed, and controlled",0.014580275863409042,0.996484637260437,POSITIVE,1
262,it is the right thing to do,0.2967076897621155,0.9998273849487305,POSITIVE,1
263,top quintile,0.13755784928798676,0.9971703886985779,POSITIVE,1
264,risk-management,0.06624623388051987,0.7969372868537903,POSITIVE,1
265,prudential,0.7144851088523865,0.9962128400802612,POSITIVE,1
266,outside the remit of the Federal Reserve,0.21798665821552277,-0.9931073784828186,NEGATIVE,0
267,leaving the U.S. banking system fundamentally safer and stronger,0.07882976531982422,0.9979522228240967,POSITIVE,1
268,this effort is something that needs to happen,0.09997013956308365,-0.9124916791915894,NEGATIVE,0
269,inflation will move up to 2 percent over the next one to two years,0.23488357663154602,-0.9867602586746216,NEGATIVE,0
270,shallow,0.23880146443843842,-0.9997449517250061,NEGATIVE,0
271,the direction in which I believe we are headed,0.1484154909849167,0.9971740245819092,POSITIVE,1
272,safeguarding the public interest in safe and sound core banking institutions,0.02733452431857586,0.9979978203773499,POSITIVE,1
273,overly accommodative,0.6026939153671265,-0.9995848536491394,NEGATIVE,0
274,reach-for-yield behavior,0.09485951066017151,0.9593062996864319,POSITIVE,1
275,Measuring the Natural Rate of Interest Redux,0.14624914526939392,0.9717963337898254,POSITIVE,1
276,our monetary policy remains accommodative,0.5055738091468811,0.5412258505821228,POSITIVE,1
277,My comments today reflect my own views,0.24802519381046295,0.9931530952453613,POSITIVE,1
278,our monetary policy remains accommodative,0.3271089792251587,0.5412258505821228,POSITIVE,1
279,prudent stance,0.37076863646507263,0.9305219650268555,POSITIVE,1
280,I look forward to hearing your views,0.04601722210645676,0.9997925162315369,POSITIVE,1
281,the gap between the policy rate and the nominal neutral rate of interest,0.255010724067688,-0.9988119602203369,NEGATIVE,0
282,I'd welcome panelists' views,0.028884055092930794,0.9996747970581055,POSITIVE,1
283,it does raise some potential issues on its own,0.22416317462921143,0.9939686059951782,POSITIVE,1
284,monetary policy,0.10894184559583664,0.9795569181442261,POSITIVE,1
285,It is my pleasure,0.013297226279973984,0.9998475313186646,POSITIVE,1
286,2 percent,0.08705803751945496,0.9854432344436646,POSITIVE,1
287,host country officials may face an unpleasant choice between supporting a foreign bank,0.06587857753038406,-0.9988467693328857,NEGATIVE,0
288,aimed at a specific sector,0.2609752118587494,0.9785874485969543,POSITIVE,1
289,Janet helped preserve the BLS's deserved reputation for accuracy and integrity,0.02983432076871395,0.9996399879455566,POSITIVE,1
290,"regulations are new, and we should be willing to learn from experience",0.023049740120768547,-0.9318339824676514,NEGATIVE,0
291,to lengthen the time frame between on-site consumer compliance,0.011932303197681904,-0.9885185360908508,NEGATIVE,0
292,waiting to see if the risks to the outlook diminish.,0.061587221920490265,-0.9989228844642639,NEGATIVE,0
293,strengthening U.S. economy,0.1700843870639801,0.9996277093887329,POSITIVE,1
294,2014,0.014075374230742455,0.9946771860122681,POSITIVE,1
295,Community Banking Research and Policy Conference,0.005867779720574617,0.955931544303894,POSITIVE,1
296,level playing field,0.21488350629806519,0.9995719790458679,POSITIVE,1
297,it will bring market participants and regulators closer to an understanding,0.04386138916015625,0.9987086057662964,POSITIVE,1
298,a cut in the federal funds rate,0.19158175587654114,-0.7383873462677002,NEGATIVE,0
299,we have a more resilient and dynamic financial system,0.040638942271471024,0.9984790682792664,POSITIVE,1
300,unclear,0.12766946852207184,-0.9992030262947083,NEGATIVE,0
301,forecast,0.03600430116057396,0.9824861288070679,POSITIVE,1
302,With our payment system improvement effort in full swing,0.010374866425991058,0.9955151677131653,POSITIVE,1
303,transparency,0.09634401649236679,0.9993578791618347,POSITIVE,1
304,highly accommodative,0.2587887942790985,0.998762845993042,POSITIVE,1
305,A decline in U.S. policy,0.35490846633911133,-0.9995251893997192,NEGATIVE,0
306,monetary policy actions designed to hold down longer-term interest rates,0.1895611584186554,-0.9589423537254333,NEGATIVE,0
307,it means the continuation of a courageous and effective monetary policy,0.05371138080954552,0.9998015761375427,POSITIVE,1
308,The policy statement now covers nearly 90 percent of bank holding companies,0.05620868131518364,0.9961452484130859,POSITIVE,1
309,Monetary Policy as Financial Stability Regulation,0.8423873782157898,0.5251322984695435,POSITIVE,1
310,to reduce unnecessary burden on community banks,0.023556966334581375,-0.9936996698379517,NEGATIVE,0
311,"data-driven, horizontal, and centrally coordinated",0.0498514324426651,0.9973154664039612,POSITIVE,1
312,evidence-based,0.565099835395813,0.9951146841049194,POSITIVE,1
313,greater economic opportunity and mobility promotes a healthier economy,0.17449989914894104,0.999545156955719,POSITIVE,1
314,demand for safe money-like assets,0.2645571529865265,-0.8533706665039062,NEGATIVE,0
315,highly accommodative,0.36971572041511536,0.998762845993042,POSITIVE,1
316,pro-cyclicality,0.24788755178451538,-0.901521623134613,NEGATIVE,0
317,Challenges Confronting Monetary Policy,0.1179468035697937,0.9499607086181641,POSITIVE,1
318,continue serving their customers,0.018753532320261,0.9965190887451172,POSITIVE,1
319,Small Bank,0.0257028266787529,-0.9833916425704956,NEGATIVE,0
320,the Federal,0.06731414049863815,0.9707282185554504,POSITIVE,1
321,to identify and preserve the legitimate benefits of such communication and trading,0.046867530792951584,0.9888261556625366,POSITIVE,1
